class_id,class_name,count,share_pct,rank
33,q214,19,13.19,1
47,q280,19,13.19,2
53,q31,13,9.03,3
51,q293,13,9.03,4
28,q193,12,8.33,5
10,q13,9,6.25,6
9,q121,5,3.47,7
63,q61,4,2.78,8
66,q7,4,2.78,9
48,q286,4,2.78,10
49,q289,4,2.78,11
73,q91,3,2.08,12
4,q106,3,2.08,13
30,q199,3,2.08,14
14,q142,3,2.08,15
64,q64,3,2.08,16
5,q109,3,2.08,17
6,q112,3,2.08,18
31,q202,3,2.08,19
44,q268,2,1.39,20
36,q229,2,1.39,21
43,q265,2,1.39,22
24,q184,1,0.69,23
38,q247,1,0.69,24
25,q187,1,0.69,25
39,q25,1,0.69,26
20,q163,1,0.69,27
7,q115,1,0.69,28
42,q262,1,0.69,29
68,q73,1,0.69,30
